"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"1";"";"JACK-PLUG0";"SPC4077";"J1";"DC POWER JACK";"";"";"unknown";"unknown";"0";"";
"16";"";"NMOSSOT23";"SOT-23";"T1, T2, T3, T4, T5, T6, T7, T8, T9, T10, T11, T12, T13, T14, T15, T16";"MOS FET";"";"";"unknown";"unknown";"5";"";
"24";"";"PINHD-1X1";"1X01";"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9, JP10, JP11, JP12, JP13, JP14, JP15, JP16, JP17, JP18, JP19, JP20, JP21, JP22, JP23, JP24";"PIN HEADER";"";"";"";"";"64";"";
"1";"";"PINHD-1X6";"1X06";"JP25";"PIN HEADER";"";"";"";"";"79";"";
"8";"";"PN_MOSFET-SOT23-6";"SOT23-6";"T17, T18, T19, T20, T21, T22, T23, T24";"DUAL N AND P-CHANNEL ENHANCEMENT MODE MOSFET";"";"";"";"";"";"";
"8";"0R";"R-EU_R0603";"R0603";"R25, R26, R27, R28, R29, R30, R31, R32";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"16";"100K";"R-EU_R0603";"R0603";"R17, R18, R19, R20, R21, R22, R23, R24, R33, R34, R35, R36, R37, R38, R39, R40";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"4";"100nF";"C-EUC0603";"C0603";"C3, C4, C5, C6";"CAPACITOR, European symbol";"";"";"";"";"73";"C";
"10";"1uF";"C-EUC0603";"C0603";"C1, C2, C7, C8, C9, C10, C11, C12, C13, C14";"CAPACITOR, European symbol";"";"";"";"";"73";"C";
"16";"220R";"R-EU_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"3";"74HC595D";"74HC595D";"SO16";"IC2, IC3, IC4";"8-bit SHIFT REGISTER, output latch";"";"";"";"";"21";"";
"1";"MC1525TT";"MC1525TT";"SOT23";"IC1";"2.5V and 4.096V Voltage References";"";"";"unknown";"unknown";"0";"";
"1";"MSP430G2XX3IN20";"MSP430G2XX3IN20";"DIL20";"U1";"";"";"";"";"";"";"";
